geo_id,paper_id,location,primary_biome,additional_biomes,acquisition_platform,sensors,fusion_strategy,primary_biome_clean,platform_clean
26,26,"Republic of Ghana, West Africa",Mixed Forest,Tropical Forest|Savanna|Wetland|Mangrove|Urban,Satellite,RGB|Multispectral|SAR|LiDAR,Multi-modal fusion - Separate CNN encoders for S1 and S2 data with channel-wise concatenation before decoder for U-Net models. Hy-TeC uses only S2 data with separate processing of 10m bands (input 1) and 20m bands (input 2) fed to ViT encoder,Mixed Forest,Satellite
27,27,75 AOIs globally distributed across all continents (excluding Antarctica),Mixed Forest,,Satellite,Multispectral,,Mixed Forest,Satellite
28,28,"Multiple locations: CULS (Czech Republic), NIBIO & NIBIO2 & NIBIO_MLS (Norway), RMIT (Australia), SCION (New Zealand), TUWIEN (Austria), BlueCat (Czech Republic), Yuchen (French Guiana), Wytham woods (United Kingdom), LAUTx (Austria)",Mixed Forest,Temperate Forest|Boreal Forest|Tropical Forest,UAV/Drone|Ground-based,LiDAR,,Mixed Forest,UAV/Drone
29,29,"CANATREE100: Quebec, Canada; FLICKRTREE100/110K: Worldwide (sourced from Flickr)",Mixed Forest,Temperate Forest|Tropical Forest|Boreal Forest|Mixed Forest,Ground-based,RGB,,Mixed Forest,Ground-based
30,30,"Amazon Rainforest and Atlantic Forest biomes, Brazil, South America",Tropical Forest,Tropical Forest,Satellite,RGB|NIR,,Tropical Forest,Satellite
31,31,,Other,,UAV/Drone,RGB,,Other,UAV/Drone
32,32,"Windham County, Connecticut, USA (Northeastern United States)",Temperate Forest,,Aerial (manned aircraft),RGB|Multispectral,,Temperate Forest,Aerial
33,33,"Kranzberg Forest Roof Experiment (KROOF) research site, 35 km northeast of Munich, Bavaria, Germany (11°39'42''E, 48°25'12''N)",Temperate Forest,,UAV/Drone,RGB|Multispectral|LiDAR,"Early fusion - multispectral channels and LiDAR-derived images stored in data cube with different channel combinations tested (RGB, CIR, LIDAR, P+LIDAR)",Temperate Forest,UAV/Drone
34,34,"Eight US cities: Boston, Chicago, Denver, Detroit, Houston, Las Vegas, Los Angeles, and Miami",Urban,,Aerial (manned aircraft),LiDAR,Multi-source data fusion - LiDAR point clouds combined with OSM road network data for vegetation area masking and segmentation prompts,Urban,Aerial
35,35,"Quebec Plantations dataset: Multiple plantation sites in Quebec, Canada; SBL dataset: Station de Biologie de Laurentides, Quebec, Canada; BCI dataset: Barro Colorado Island, Panama (50-ha tropical forest plot)",Mixed Forest,Agroforestry|Temperate Forest|Tropical Forest,UAV/Drone,RGB|DSM,Early fusion for Mask R-CNN+DSM (DSM stacked as 4th channel); For BalSAM: DSM encoder module with element-wise sum fusion of DSM and image embeddings fed to SAM decoder as dense prompts,Mixed Forest,UAV/Drone
36,36,"Albert county, York county, and Grand Bay-Westfield, New Brunswick, Canada",Wetland,,Satellite,SAR|Multispectral,"Early fusion - Sentinel-1 SAR (VV, VH, HH, HV polarizations) and Sentinel-2 multispectral bands (B2, B3, B4, B5, B6, B7, B8, B8A, B11, B12) concatenated and processed through unified feature extractor network with 3D and 2D convolutions",Wetland,Satellite
37,37,"Western United States covering 24 EPA Level 3 ecoregions, including Wildfire Crisis Strategy (WCS) landscapes and NEON research sites",Mixed Forest,Temperate Forest|Boreal Forest|Semi-Arid|Urban|Peri-Urban,Aerial (manned aircraft),RGB|NIR|LiDAR,,Mixed Forest,Aerial
38,38,"Fujairah City and Kalba (Fujairah and Sharjah emirates), United Arab Emirates",Semi-Arid,Urban|Agroforestry|Semi-Arid,UAV/Drone,RGB (S.O.D.A. 20 MP),,Semi-Arid,UAV/Drone
39,39,"TreeCrown: Laurentides region of Québec, Canada; Landcover.AI: Poland; UAVid: urban scenes",Mixed Forest,Temperate Forest|Urban,UAV/Drone|Aerial (manned aircraft),RGB,,Mixed Forest,UAV/Drone
40,40,"Eastern part of Ajman Emirate, United Arab Emirates",Agroforestry,Semi-Arid|Urban,UAV/Drone,RGB,,Agroforestry,UAV/Drone
41,41,"Emerald Bay State Park, California, USA; Multiple NEON sites across United States; Danum and Sepilok sites in Malaysia",Mixed Forest,Temperate Forest|Tropical Forest,UAV/Drone|Aerial (manned aircraft),RGB,,Mixed Forest,UAV/Drone
42,42,"Southern Ganzhou, Jiangxi Province, China (115°30'-116°30'E, 25°00'-26°00'N)",Mixed Forest,,UAV/Drone,RGB|LiDAR,Multi-level feature fusion - RGB and CHM processed through dual-branch SegFormer backbones with deformable alignment and cross-modal interaction (channel feature interaction and spatial feature interaction) across multiple hierarchical levels,Mixed Forest,UAV/Drone
43,43,Global coverage from AGBD dataset (years 2019-2020),Mixed Forest,Temperate Forest|Tropical Forest|Boreal Forest|Urban|Peri-Urban|Agroforestry|Wetland|Savanna|Semi-Arid,Satellite,RGB|Multispectral|SAR,Early fusion - Spectral recombination and pseudo-RGB transformation converts MS and SAR to RGB space for alignment with pre-trained visual encoder. Visual tokens from encoder and hidden tokens from LLM combined through reverse projection module.,Mixed Forest,Satellite
44,44,"Eastern region of Ajman Emirate, United Arab Emirates (30 km²)",Agroforestry,Agroforestry|Urban,UAV/Drone|Aerial,RGB,,Agroforestry,UAV/Drone
45,45,"Black Forest region near Freiburg im Breisgau, Germany",Temperate Forest,,UAV/Drone,RGB|Multispectral|NIR|Red Edge,Early fusion - vegetation indices calculated from NIR and Red Edge bands concatenated with RGB bands,Temperate Forest,UAV/Drone
46,46,"Martell Forest, Tippecanoe County, Indiana, USA",Temperate Forest,,UAV/Drone,RGB,,Temperate Forest,UAV/Drone
47,47,"Quebec, Canada (15 plantation sites)",Temperate Forest,,UAV/Drone,RGB|DSM,"Early fusion - DSM stacked as fourth channel with RGB, or DSM encoded separately and added to image embeddings before mask decoder (DSMPrompter)",Temperate Forest,UAV/Drone
48,48,"Dongtai Forest Farm, Yancheng City, Jiangsu Province, China (120°47'11""E to 120°52'0""E, 32°53'30""N to 32°51'17""N)",Agroforestry,,UAV/Drone,RGB,,Agroforestry,UAV/Drone
49,49,"Rajasthan, India",Agroforestry,Hyper-Arid Western Plains|Transitional Inland Drainage|Semi-Arid Eastern Plains|Sub-humid Southern Plains|Irrigated Northern|Transitional Plains of Luni Basin|Flood-prone Eastern Plains|Humid Southeastern Plains,Satellite,RGB,,Agroforestry,Satellite
50,50,"MillionST: 1,317 cities across Europe, North Africa, and West Asia from top 10,000 most populous cities globally; MultiEarth: Amazon rainforest; MultiSenGE: 14 Sentinel-2 tiles (Europe); MTLCC: various (2016 agricultural data); KuroSiwo: West/Southeast Africa, Middle East, Australia",Mixed Forest,Temperate Forest|Tropical Forest|Urban|Peri-Urban|Agroforestry|Wetland,Satellite,Multispectral,,Mixed Forest,Satellite
51,51,"Ajman Emirate, United Arab Emirates",Agroforestry,,UAV/Drone,RGB,,Agroforestry,UAV/Drone
52,52,"8 sites across NEON Domains 03, 05, and 16 in United States (ABBY, TREE, LIRO, STEI, UNDE, DSNY, JERC, OSBS)",Mixed Forest,Temperate Forest|Mixed Forest,Aerial (manned aircraft),RGB,,Mixed Forest,Aerial
53,53,"Amazon and Atlantic forests, Brazil, South America",Tropical Forest,,Satellite,RGB|NIR,,Tropical Forest,Satellite
54,54,"SensatUrban: Birmingham, Cambridge, and York, United Kingdom; Semantic3D: Various outdoor scenes",Urban,,Aerial (manned aircraft),LiDAR,,Urban,Aerial
55,55,"Virtual forest scenes simulated in Unreal Engine (training), evaluated on Canadian forests (testing)",Mixed Forest,,,RGB|Depth,"Mid-level fusion - two independent Swin Transformer encoders extract RGB and depth features separately, then features concatenated through fusion module (concatenation + layer normalization + convolution), RGB encoder output added to fusion output",Mixed Forest,
56,56,Brazil - three major eco-regions,Mixed Forest,Tropical Forest|Savanna,Satellite,Multispectral,,Mixed Forest,Satellite
57,57,"Urban forestry demonstration base of Northeast Forestry University, Harbin, Heilongjiang Province, China (126°63'15"" E, 45°43' N)",Temperate Forest,,UAV/Drone,LiDAR,,Temperate Forest,UAV/Drone
58,58,"Arnsberg Forest, Germany",Temperate Forest,,UAV/Drone,RGB,,Temperate Forest,UAV/Drone
59,59,"KCL-London: London, UK; Jiangsu: Jiangsu Province, China; Yosemite: Yosemite National Park, California, USA",Mixed Forest,Urban|Peri-Urban|Temperate Forest,Satellite|Aerial (manned aircraft),RGB,,Mixed Forest,Satellite
60,60,"Campo Grande, Mato Grosso do Sul, Brazil (training); Guangzhou, Guangdong, China (testing/validation) - 3 sites: green space, residential area, suburban area",Urban,Urban|Peri-Urban,UAV/Drone,RGB,,Urban,UAV/Drone
61,61,"KCL-London: London, United Kingdom; Yosemite: Yosemite National Park, California, USA",Mixed Forest,Urban|Temperate Forest,Aerial (manned aircraft),RGB,,Mixed Forest,Aerial
62,62,"Dataset_A: Wenxian County, Henan Province, China (113°08'26""E, 34°53'24""N); Dataset_B: Liping County, Guizhou Province, China (109°26'24""E, 26°11'54""N)",Mixed Forest,Temperate Forest|Mixed Forest,UAV/Drone,RGB|LiDAR,Transformer-based cross-modal feature fusion - MM-Transformer module uses multi-head self-attention to adaptively learn correlations between RGB and CHM features at multiple levels,Mixed Forest,UAV/Drone
63,63,"Global coverage across multiple continents (North America, Europe, Africa, Asia, Australia) from OAM-TCD dataset",Mixed Forest,Temperate Forest|Tropical Forest|Agroforestry|Urban,Aerial (manned aircraft),RGB,,Mixed Forest,Aerial
