performance_id,paper_id,model_id,primary_task,has_cnn_baseline,metric_name,metric_value,baseline_model,baseline_value,performance_gain,additional_metrics,multi_resolution_testing,additional_results,primary_task_clean,performance_gain_numeric,metric_value_numeric
11,11,11,Tree Crown Delineation/Segmentation,No,,Qualitative evaluation: 'Tree-GPT's segmentation results are basically consistent with manual annotations. It can even be said that in some cases the manual annotation results may not be as accurate as SAM's results.',,,,,,"System successfully demonstrated on multiple interactive tasks: (1) Information retrieval - finding tallest tree with visualization, (2) Simple visualization - scatter plots of height vs crown width, (3) Complex visualization - tree growth diagrams using crown positions and radii with color differentiation, box plots grouped by height ranges, (4) Code generation - providing executable Python code for analysis tasks, (5) Statistical analysis - Gaussian distribution fitting to tree height with RMSE confidence measure (μ = 1.14, std = 0.57, RMSE = 0.82).",Tree Crown Segmentation,,
12,12,12,Forest Disturbance Detection,No,Precision|Recall|F1-score,"Precision: 99%±1%, Recall: 83%±6%, F1-score: 89%±4% for forest disturbances",,,,,,Qualitative validation shows predicted disturbance map aligns well with high-resolution Planet scope reference images,Disturbance Detection,,89.0
13,13,13,Tree Crown Delineation/Segmentation,Yes,mIoU|mPrecision,"SSMM-DS: 95.11% mIoU, 97.79% mPrecision","DeepLabv3+ with Xception, DeepLabv3+ with ResNet50, FCN, PSPNet, OCRNet, uPerNet, SegFormer","FCN: 92.08% mIoU, 95.99% mPrecision; PSPNet: 92.15% mIoU, 95.92% mPrecision; OCRNet: 91.52% mIoU, 96.11% mPrecision; uPerNet: 93.08% mIoU, 96.47% mPrecision; SegFormer: 94.00% mIoU, 96.95% mPrecision; DeepLabv3+ Xception: 92.73% mIoU, 96.84% mPrecision",+1.11% mIoU and +0.84% mPrecision over SegFormer; +2.03% mIoU and +0.95% mPrecision over uPerNet; +2.38% mIoU and +0.95% mPrecision over DeepLabv3+ with Xception,FLOPs: 15.11G|Params: 17.48M,,"Model outperforms all baselines while using significantly fewer parameters (17.48M vs 61.37M for SegFormer, 58.94M for uPerNet). Achieves best balance between performance and efficiency with FLOPs (15.11G) higher than SegFormer (9.90G) but lower than all ResNet50-based models.",Tree Crown Segmentation,1.11,95.11
14,14,14,Tree Crown Delineation/Segmentation,Yes,mIoU|IoU|F1,"Zurich: 93.33% mIoU, 91.03% IoU, 95.30% F1; Shanghai: 85.15% mIoU, 83.98% IoU, 89.49% F1","Multiple CNN baselines including ResUNet, ABCNet, PSPNet, CMGFNet, MSSNet, FuseNet, ASANet; Transformer baselines including SegFormer, GeminiFusion, FTransUNet, UNetFormer, Swin Transformer","Zurich - Best CNN baseline: FuseNet 91.43% mIoU, 88.50% IoU; Best Transformer baseline: FTransUNet 91.54% mIoU, 88.60% IoU; Shanghai - Best CNN baseline: FuseNet 84.20% mIoU, 82.22% IoU; Best Transformer baseline: UNetFormer 83.96% mIoU, 81.92% IoU","Zurich: +1.79% mIoU over FTransUNet, +1.90% mIoU over FuseNet; Shanghai: +1.19% mIoU over UNetFormer, +0.95% mIoU over FuseNet","Zurich: Precision: 94.96%, Recall: 95.64%|Shanghai: Precision: 89.96%, Recall: 89.03%","Model handles different resolutions across datasets: Zurich uses 1m resolution (downsampled from 0.1m), Shanghai uses 0.68m ORS resolution. The model demonstrates robustness across these different resolutions with strong performance on both datasets.",The model outperforms both CNN-based and Transformer-based baselines across both datasets. Particularly strong performance in complex urban-forest mixed environments. Visual comparisons (Fig. 9) show MURTreeFormer excels at capturing fragmented and densely distributed tree regions with clearer boundary delineation compared to baselines.,Tree Crown Segmentation,1.79,93.33
15,15,15,Tree Crown Delineation/Segmentation,Yes,bF1|Localization RMSE|Crown Area RMSE,"Denmark SegFormer: 27.9% bF1 at γ=0.5, 42.0% at γ=1, 50.4% at γ=2; TransUNet: 29.9% at γ=0.5, 40.0% at γ=1, 46.1% at γ=2 for Heatmap framework",UNet-R50 (CNN baseline for comparison with transformer backbones),"Denmark: 30.4% bF1 at γ=0.5, 49.6% at γ=1, 60.6% at γ=2 (Point detection with P2P); Rwanda: 13.8% bF1 at γ=0.5, 35.3% at γ=1, 53.6% at γ=2 (Point detection with P2P)",TransUNet and SegFormer do not consistently outperform UNet-R50 baseline. UNet remains strongest baseline across all frameworks. Best performing: P2P (point detection) with UNet-R50 achieves highest bF1 scores.,"Counting nMAE: varies by method, from 26.4% (P2P) to 78.1% (FasterRCNN) on Rwanda|Localization RMSE (m): 0.45-0.68m (Denmark γ=0.5), 0.68-1.29m (Rwanda γ=0.5)|Crown Area RMSE (m²): 13.89-19.68 (Denmark), 28.82-39.45 (Rwanda)|Individual IoU: Heatmap 58.1% (Denmark), Detection frameworks 49-58%|Processing time: UNet fastest at 1.7ms forward + 1.4-81.8ms post-processing",,"Model ensembling analysis shows proposed Heatmap method benefits significantly more (+24-28%) than others due to single-output design. Patch-level IoU vs individual IoU analysis reveals that segmentation achieves best patch IoU but worst individual IoU, highlighting that instance separation post-processing is the critical bottleneck. Label noise analysis with two annotators shows 35.2% complete disagreement, 44.4% agreement, and various merge/split patterns, demonstrating significant annotation uncertainty even for experts.",Tree Crown Segmentation,50.0,27.9
16,16,16,Deforestation Mapping,Yes,Accuracy|Precision|Recall|F1-score,"ForestViT: 0.80 overall precision, 0.94 overall recall","ResNet50, VGG16, DenseNet121, MobileNET","ResNet50: 0.77 overall precision, 0.93 overall recall","+0.03 precision, +0.01 recall over ResNet50 overall; significantly higher gains for rare classes (e.g., selective logging: ForestViT 0.36 vs ResNet 0.16 probability)","Hamming Loss: ForestViT shows lower loss across 12 multilabel combinations compared to CNN baselines|Per-class accuracy: ForestViT achieves 95.1-99.9% across 14 classes with particular strength in rare classes (Primary Forest 96.7%, Selective Logging 99.7%)",,"ForestViT markedly outperforms CNN baselines on rare classes including: Selective Logging (0.36 vs 0.00-0.27 for CNNs), Bare Ground (0.50 vs 0.10-0.31), Conventional Mining (0.77 vs 0.00-0.77), and Blooming (0.18 vs 0.00-0.05). For frequent classes like Primary Forest, Clear, Agriculture, Water River, performance is comparable across methods. Hamming loss analysis across 12 different multilabel combinations shows ForestViT consistently achieves lower loss than CNN architectures.",Deforestation Mapping,3.0,80.0
17,17,17,Canopy Height Estimation,Yes,MAE|RMSE|R²|PSNR,"2.55m MAE, 4.02m RMSE, 22.9% nMAE, -0.13m Bias, 90.5% Tree Cover IoU, 21.05 PSNR, 0.61 R²","Multiple: UNet, DeepLabv3, ViT-B, HVIT, PCPVT, SWIN, PVTv2, ScaleMAE","SWIN: 2.54m MAE, 4.00m RMSE, 90.5% Tree Cover IoU; PVTv2: 2.52m MAE, 4.02m RMSE, 90.5% Tree Cover IoU","Comparable to best single-task models (SWIN, PVTv2) while supporting 8 simultaneous tasks","Tree Cover IoU: 90.5%|nMAE: 22.9%|Bias: -0.13m|PSNR: 21.05|Multi-task performance: NDVI (0.85 R²), GNDVI (0.86 R²), SAVI (0.77 R²), EVI (0.66 R²), NDWI (0.80 R²), H (0.61 R²), AGB (0.55 R²), CS (0.52 R²)",,"Multi-task performance breakdown (Table III): Spectral indices significantly outperform structural variables - NDVI (0.05 MAE, 0.85 R²), GNDVI (0.06 MAE, 0.86 R²), SAVI (0.07 MAE, 0.77 R²) vs AGB (21.34 t/ha MAE, 0.55 R²), CS (16.80 Mg/ha MAE, 0.52 R²). Fixed loss weighting strategy used to balance optimization across heterogeneous tasks (Table II): structural variables assigned higher weights (H: 0.2052, AGB: 0.2121, CS: 0.2381) vs spectral indices (NDVI: 0.0386, GNDVI: 0.0440). Qualitative results (Figure 3) show spectral index predictions closely match ground truth spatial distributions while structural variables exhibit larger discrepancies in heterogeneous regions.",Height Estimation,2.0,2.55
18,18,18,Individual Tree Detection/Counting,Yes,F1-score,"Coniferous: 83% F1, Mixed: 86% F1, Deciduous: 71% F1",YOLOv4,"Coniferous: 87% F1, Mixed: 65% F1, Deciduous: 67% F1","Coniferous: -4% F1, Mixed: +21% F1, Deciduous: +4% F1","Accuracy - Coniferous: 71% (DETR) vs 77% (YOLOv4), Mixed: 76% (DETR) vs 48% (YOLOv4), Deciduous: 55% (DETR) vs 50% (YOLOv4)|Precision - Coniferous: 81% (DETR) vs 84% (YOLOv4), Mixed: 84% (DETR) vs 57% (YOLOv4), Deciduous: 71% (DETR) vs 63% (YOLOv4)|Recall - Coniferous: 85% (DETR) vs 89% (YOLOv4), Mixed: 89% (DETR) vs 75% (YOLOv4), Deciduous: 71% (DETR) vs 71% (YOLOv4)",,"DETR shows dramatically better performance in mixed forest environments (+21% F1-score improvement) compared to coniferous-only environments (-4% F1-score). Both methods struggle with over-segmentation in deciduous areas. Training used pre-trained COCO model with transfer learning, 500 epochs with early stopping based on validation mAP@IoU=0.50. Post-processing included filtering small bounding box fragments (<20 m²) and non-maximum suppression with IoU threshold of 0.3.",Tree Detection,4.0,83.0
19,19,19,Tree Species Classification,Yes,Overall Accuracy|Average Accuracy|Kappa coefficient,"Trento: 99.0% OA, 98.44% AA, 98.66% Kappa; Houston 2013: 97.41% OA, 97.59% AA, 97.19% Kappa","Multiple CNN baselines including EndNet, DCT, MBF, AM³Net, HES²T, BTRF, TTCNN (Trento); MSST, mFormer, S2CA, RFFT, MATA, CSF, SFE-FN (Houston 2013)","Trento best baseline: DCT 97.45% OA, 95.07% AA, 96.58% Kappa; Houston 2013 best baseline: RFFT 92.52% OA, 95.23% AA, 92.52% Kappa",Trento: +1.55% OA over best CNN baseline (DCT); Houston 2013: +4.89% OA over best CNN baseline (RFFT),"Trento class-specific F1-scores: Apple Trees 98.25%, Buildings 98.07%, Ground 96.81%, Wood 99.99%, Vineyard 99.35%, Roads 97.14%|Houston 2013 class-specific F1-scores range 94-100% across 15 classes",,"Model demonstrates robust capability in classifying heterogeneous vegetation across both natural (rural Trento) and urban (Houston) landscapes, with particularly strong performance in challenging classes like synthetic grass (99.80%), soil (100%), and tennis court (100%) in Houston dataset",Species Classification,1.55,99.0
20,20,20,Tree Crown Delineation/Segmentation,No,mIoU|mF-score,"Best models: UniFormer 77.88% mIoU, 86.01% mF-score (multispectral); UperNet-Swin 78.10% mIoU, 86.18% mF-score (multispectral); Mask2Former 77.36% mIoU, 85.59% mF-score (multispectral)",,,,mPrecision: 83.85% to 88.30%|mRecall: 83.58% to 88.30%|mAcc: 83.58% to 88.30%,"Models tested at 1.24m GSD (pansharpened to 0.31m). Authors noted that GSD is a critical factor affecting model performance, referencing Gibril et al. (2023) who observed 11-23.5% decline in segmentation accuracy as UAV GSD decreased from 5cm to 20cm","Spectral band integration analysis: UniFormer improved by +2.17% mIoU with multispectral vs RGB, UperNet-Swin by +2% mIoU, Mask2Former by +1.15% mIoU, SegFormer by +0.46% mIoU. Adding NDVI to multispectral bands did not yield further improvement. Among RGB-only analyses, models achieved 75.04-76.21% mIoU and 83.64-84.63% mF-score",Tree Crown Segmentation,,77.88
21,21,21,Deforestation Mapping,Yes,F1-score|Precision|Recall,"0.92 F1-Score (All Pixels) for TRA-LF, 0.94 F1-Score (Cloud-Free Pixels), 0.91 F1-Score (Cloudy Pixels)",CNN-LF (best CNN-based model),"0.86 F1-Score (All Pixels), 0.93 F1-Score (Cloud-Free Pixels), 0.89 F1-Score (Cloudy Pixels)","+0.06 F1-Score (All Pixels) for TRA-LF over CNN-LF, +0.01 F1-Score (Cloud-Free Pixels), +0.02 F1-Score (Cloudy Pixels)",TRA-JF achieved 0.92 F1-Score (All Pixels) with better recall (0.94) compared to TRA-LF (0.86 recall)|Precision (All Pixels): TRA-LF: 0.95 vs CNN-LF: 0.95|Recall (All Pixels): TRA-LF: 0.86 vs CNN-LF: 0.88,,"Single-modality SAR models (TRA-SAR, CNN-SAR) were almost unaffected by cloud conditions as expected. TRA-SAR outperformed CNN-SAR across all metrics. Joint fusion strategy (TRA-JF) achieved the most balanced performance with 0.92 F1-Score and high recall (0.94), while late fusion (TRA-LF) achieved slightly higher F1-Score (0.92) but with significantly lower recall (0.86), indicating missed deforestation detections.",Deforestation Mapping,6.0,92.0
22,22,22,Other,Yes,F1 micro|F1 macro|mIoU|mAP50,"FoMo-Net1 performance varies by task: BigEarthNet: 73.42% F1 micro; Waititu: 74.26% F1 micro, 59.10% mIoU; NeonTree: 51.95% mIoU, 5.67% mAP50. Note: FoMo-Net does not always outperform specialized models but shows competitive cross-task flexibility","Multiple baselines: ResNet50, UNet, DeepLabv3, UPerNet, Faster R-CNN, RetinaNet, YOLOS, ConvNext, ViT","Varies by task and dataset. Examples: BigEarthNet ResNet50: 77.18% F1 micro; Waititu DeepLabv3: 80.81% F1 micro, 67.90% mIoU; NeonTree Faster R-CNN: 61.49% mIoU, 38.37% mAP50","Mixed results - FoMo-Net sometimes underperforms specialized models but demonstrates unique flexibility across diverse tasks, modalities, and resolutions. In some cases like ForestNet segmentation, achieves near-parity with specialized models (95.22% vs 95.27% F1 for DeepLabv3)","Micro and macro F1-scores for classification|mIoU for segmentation|mAP with IoU thresholds 0.5 and [0.5, 0.95] for detection","FoMo-Net is explicitly designed and tested across multiple resolutions ranging from sub-meter (UAV imagery at few cm) to 60m per pixel (satellite). The model processes data at 64×64 pixel resolution during pre-training and can adapt to various downstream task resolutions. Paper demonstrates performance across very high (<5cm), high (≥5cm and <1m), medium (≥1m and <10m), and low (≥10m) resolution datasets","PolyNet (supervised multi-task baseline) shows strong performance, particularly for Sen12MS (51.70% F1 micro, best in category), suggesting supervised pre-training on forest tasks has merit. DINOv2 foundation model shows poor performance on detection tasks (44.65% mIoU for NeonTree vs 61.49% for Faster R-CNN), highlighting domain gap between general vision and remote sensing",Other,,73.42
23,23,23,Tree Crown Delineation/Segmentation,No,mIoU|AAcc,"94.94% mIoU, 97.50% AAcc",SegFormer,"94.04% mIoU, 96.98% AAcc","+0.90% mIoU, +0.52% AAcc over SegFormer; +2.32% mIoU, +1.32% AAcc over Swin-T; +1.30% mIoU, +3.92% AAcc over ViT","Class-wise IoU: Background 98.18%, Knotweed 91.70%|Class-wise Accuracy: Background 99.02%, Knotweed 95.98%",,"Model demonstrated precise delineation of Japanese knotweed patches under varying vegetation complexity and lighting conditions. Training dynamics showed consistent improvement with auxiliary branch metrics closely tracking decoder branch, affirming auxiliary supervision efficacy. Estimated computational cost: ~88 GFLOPs.",Tree Crown Segmentation,90.0,94.94
24,24,24,Other,Yes,RMSE|RMSE Log|Abs Rel,"Mid-Air - DepthAnything: 11.430m RMSE, 0.197 Abs Rel; Metric3D: 15.364m RMSE, 0.364 Abs Rel. LOBDM-Forest - DepthAnything: 1.506m RMSE, 0.187 Abs Rel; Metric3D: 1.504m RMSE, 0.190 Abs Rel","Adabins (CNN-based), MiDas (CNN-based)","Mid-Air - Adabins: 24.975m RMSE, 0.515 Abs Rel; MiDas: 12.157m RMSE, 0.213 Abs Rel. LOBDM-Forest - Adabins: 1.606m RMSE, 0.211 Abs Rel; MiDas: 1.605m RMSE, 0.211 Abs Rel",Mid-Air: DepthAnything achieves 54.2% improvement in RMSE over Adabins (11.430m vs 24.975m). Depth boundary completeness: Metric3D (27.253) vs MiDas (79.888). LOBDM-Forest: Metric3D boundary completeness error 5.494 vs MiDas 93.361 (94.1% improvement),"Depth boundary accuracy (ε_acc_DBE)|Depth boundary completeness (ε_comp_DBE)|Directed Depth Error (DDE)|Accuracy at thresholds (δ1, δ2, δ3)",,"Geometry-aware metrics revealed insights not captured by global metrics: On Mid-Air, DepthAnything achieved 91.1% correct depth estimates (ε_0_DDE) vs Metric3D's 77.9% when reference plane set to 20m. For depth boundaries, Metric3D achieved best completeness (27.253) and accuracy (1.712) on Mid-Air. Performance varies significantly by depth range: errors increase with distance, with Mid-Air showing clear pattern of increasing error for depths >80m. LOBDM-Forest shows U-shaped error pattern with lowest errors at 6m depth (middle trunk region with less occlusion).",Other,54.2,11.43
25,25,25,Tree Species Classification,Yes,Accuracy|F1-score,"Vision Transformer B16: 0.68 accuracy, 0.68 F1-score on original test; 0.81 accuracy, 0.81 F1-score with augmented dataset","ResNet152, VGG19, InceptionV3, DenseNet161","DenseNet161: 0.72 accuracy, 0.74 F1-score (best CNN on original test dataset)",+9% accuracy improvement with augmentation for ViT B16 (0.72 to 0.81); SR-GAN improved InceptionV3 by +17% (0.37 to 0.54),"DenseNet161 class-wise: Precision 0.51-0.78, Recall 0.62-0.79|ViT B16 with augmentation: Precision 0.60-0.89, Recall 0.42-1.00|Validation accuracy: ViT B16 0.87 (augmented), DenseNet161 0.93 (original)","SR-GAN (4× super resolution) applied to test images improved performance for some models, particularly InceptionV3 (+17% accuracy from 0.37 to 0.54)",Grad-CAM visualizations show models focus on leaf textures and crown structures. Rollout Attention maps for ViT demonstrate attention to relevant tree crown regions. Reducing classification to 3 classes (excluding Quercus pubescens) improved accuracy to 0.89 with ViT L16 and 0.91 with ViT DeiT. Performance varies by species: better for Acer opalus (0.75-0.98 precision) and Olea europaea (0.78-1.00 precision) compared to Quercus pubescens (0.51-0.69 precision).,Species Classification,9.0,81.0
