paper_id,title,authors,year,venue,publication_type,citation_key,source_file,limitations,citation_count
11,Tree-GPT: Modular Large Language Model Expert System for Forest Remote Sensing Image Understanding and Interactive Analysis,S. Q. Du|S.J. Tang|W. X. Wang|X. M. Li|R. Z. Guo,2023,arXiv preprint,Preprint,du_tree-gpt_2023,du_tree-gpt_2023.json,"Authors acknowledge: (1) SAM's segmentation quality highly sensitive to input prompts, requiring custom prompt generation framework, (2) SAM generates many redundant masks without semantic information, necessitating bipartite graph matching post-processing, (3) Segmentation granularity not controllable in SAM without prior knowledge, (4) System requires high-resolution data (<0.5m implied by 0.025m test data) for accurate tree detection and segmentation, (5) LLMs exhibit 'hallucination' generating inaccurate professional knowledge without domain-specific fine-tuning, requiring Domain Knowledge Base retrieval, (6) Interactive visualization may require 'multiple manual guidance to achieve the best visualization effect' rather than correct results in first round, (7) Foundation models' computational costs not analyzed - no discussion of inference time or resource requirements for real-time forestry applications.",25
12,Seasonal Forest Disturbance Detection Using Sentinel-1 SAR & Sentinel-2 Optical Timeseries Data and Transformers,Adugna Mullissa|Johannes Reiche|Sassan Saatchi,2023,IGARSS 2023 - IEEE International Geoscience and Remote Sensing Symposium,Conference,mullissa_seasonal_2023,mullissa_seasonal_2023.json,"Authors acknowledge: (1) Limited dataset size used in experiments poses challenges to model efficacy, (2) Missing data from Sentinel-2 timeseries due to cloud cover and shadows, (3) Computational complexity cost of the Transformer architecture, (4) Need to improve generalization capability through more diverse training datasets, (5) Future work needed to address missing data through gap estimation and filling approaches, (6) Need to explore different fusion approaches to improve robustness",4
13,SSMM-DS: A semantic segmentation model for mangroves based on Deeplabv3+ with swin transformer,Zhenhua Wang|Jinlong Yang|Chuansheng Dong|Xi Zhang|Congqin Yi|Jiuhu Sun,2024,Electronic Research Archive,Journal,wang_ssmm-ds_2024,wang_ssmm-ds_2024.json,"Authors acknowledge: (1) Computational efficiency limitations hindering large-scale deployment and real-time monitoring; (2) Scarcity of mangrove samples and spectral similarity with other vegetation limiting generalization; (3) Need for lightweight network design, model compression, and hardware-aware optimization for UAV/edge deployment; (4) Sample imbalance requiring advanced learning strategies (active learning, semi-supervised, transfer learning); (5) Model interpretability needed to understand decision-making and guide optimization; (6) Requirement for multi-source data fusion (Sentinel, Gaofen, UAV) for comprehensive monitoring; (7) Need for intelligent monitoring platform enabling real-time tracking and early warning of mangrove changes.",2
14,Multi-modal Uncertainty Robust Tree Cover Segmentation For High-Resolution Remote Sensing Images,Yuanyuan Gui|Wei Li|Yinjian Wang|Xiang-Gen Xia|Mauro Marty|Christian Ginzler|Zuyuan Wang,2025,arXiv preprint,Preprint,gui_multimodal_2025,gui_multimodal_2025.json,"Authors acknowledge: (1) Temporal mismatch between multi-modal acquisitions (days to years apart) introduces significant aleatoric uncertainty, particularly pronounced in high-resolution imagery; (2) Frequent vegetation changes including pruning, harvesting, or seasonal defoliation may reduce segmentation accuracy; (3) GPU memory constraints limit batch size to 5 on 24GB GPU; (4) Datasets are custom and not publicly available, limiting reproducibility; (5) Geographic bias - only tested on European (Switzerland) and Asian (China) urban/temperate environments; (6) Model requires paired multi-modal data which may not always be available in operational settings.",1
15,Benchmarking Individual Tree Mapping with Sub-meter Imagery,Dimitri Gominski|Ankit Kariryaa|Martin Brandt|Christian Igel|Sizhuo Li|Maurice Mugabowindekwe|Rasmus Fensholt,2023,arXiv preprint (submitted to ISPRS Journal of Photogrammetry and Remote Sensing),Preprint,gominski_benchmarking_2023,gominski_benchmarking_2023.json,"Authors acknowledge that 'only overstory trees can be identified from an aerial perspective' with bias towards large trees (13% for large trees, 47% bias if considering all woody plants from field data). 'Even expert annotators can make errors' with 35.2% disagreement rate between two annotators in dense forests. Authors note the 'high annotation cost of segmentation' and that 'trees represent challenging variations for mapping due to differences in size, shapes and context related to species and environmental conditions.' Key limitation: 'the core of the problem lies in separating trees' through instance segmentation rather than improving feature extraction. Authors emphasize need for 'adding robustness to label noise, or correcting labels, rather than developing new models and architectures.' Transformer architectures show no clear advantage over CNNs despite higher parameter counts and computational costs.",2
16,A Vision Transformer Model for Convolution-Free Multilabel Classification of Satellite Imagery in Deforestation Monitoring,Maria Kaselimi|Athanasios Voulodimos|Ioannis Daskalopoulos|Nikolaos Doulamis|Anastasios Doulamis,2023,IEEE Transactions on Neural Networks and Learning Systems,Journal,kaselimi_vision_2023,kaselimi_vision_2023.json,"Authors acknowledge that computational complexity during training is notably higher than ResNet (37% greater), though comparable during inference. The model was only evaluated on Amazon basin data, limiting conclusions about generalization to other tropical or non-tropical forests. The approach requires high-quality satellite imagery with appropriate resolution. The challenge of heterogeneous deforestation drivers within images and rapid landscape evolution makes automation difficult. The dataset's inherent imbalance (rare deforestation events vs large forestry areas) poses challenges for standard deep learning approaches, though ForestViT addresses this better than CNNs.",121
17,SatelliteCalculator: A Multi-Task Vision Foundation Model for Quantitative Remote Sensing Inversion,Zhenyu Yu|Mohd. Yamani Idna Idris|Pei Wang,2025,Journal of LaTeX Class Files,Journal,yu_satellitecalculator_2025,yu_satellitecalculator_2025.json,"Authors acknowledge: (1) Structural variables (AGB, CS) show significantly larger prediction errors (AGB RMSE: 26.04 t/ha, CS RMSE: 21.84 Mg/ha) compared to spectral indices (NDVI RMSE: 0.22) due to dependence on complex environmental and regional factors beyond spectral reflectance alone, (2) Performance degrades in heterogeneous regions such as forest edges and bare land areas for biomass estimation tasks, (3) Model trained only on French temperate forests (Open-Canopy dataset) with no cross-biome or cross-environment validation reported, limiting assessment of geographic generalization, (4) Empirical coefficients for AGB and CS estimation are region-specific and may require recalibration for different forest types or geographic areas, (5) Foundation model approach inherits spectral domain shift challenges when transferring ImageNet pretraining to remote sensing despite successful adaptation.",11
18,Novel Single Tree Detection by Transformers Using UAV-based Multispectral Imagery,S. Dersch|A. Schöttl|P. Krzystek|M. Heurich,2022,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, XXIV ISPRS Congress",Conference,dersch_novel_2022,dersch_novel_2022.json,"DETR struggles with small tree detection (detected only 1 of 7 small coniferous trees vs YOLOv4's 4 of 7), attributed to transformers' known difficulty with small objects compared to methods using higher resolution feature maps. Both DETR and YOLOv4 exhibit over-segmentation in deciduous areas, particularly for large tree crowns (15m diameter crowns split into multiple detections). This over-segmentation is attributed to training data containing mainly medium-sized trees. The limited amount of training data (1390 trees) necessitated use of pre-trained COCO model. DETR converges slower than comparable object detection methods. Performance varies significantly by forest type (71-86% F1-score range). Future work needed: (i) integration of multispectral channels (NIR, NDVI, NDRE), (ii) fusion with LiDAR-based metrics (DSM, intensity, penetration rate), (iii) extension to tree crown segmentation beyond detection.",14
19,Integrating Hyperspectral Images and LiDAR Data Using Vision Transformers for Enhanced Vegetation Classification,Xingquan Shu|Limin Ma|Fengqin Chang,2025,Forests,Journal,shu_integrating_2025,shu_integrating_2025.json,"Authors acknowledge: (1) Model performance may be constrained by availability and diversity of training data - expanding dataset to include more varied environmental conditions and plant species would improve robustness; (2) Integration of multiple data types (HSI and LiDAR) with advanced transformers and involution increases model complexity, presenting challenges for computational cost and real-time deployment in large-scale monitoring systems; (3) Standard ViT architectures are computationally intensive, limiting practical applicability for UAV-based real-time monitoring; (4) ViTs require extensive labeled training datasets, limiting applicability in ecological studies where labeled samples are scarce; (5) Trade-off exists between efficiency and classification accuracy in lightweight transformer models",2
20,Spectral–Spatial transformer-based semantic segmentation for large-scale mapping of individual date palm trees using very high-resolution satellite data,Rami Al-Ruzouq|Mohamed Barakat A. Gibril|Abdallah Shanableh|Jan Bolcek|Fouad Lamghari|Nezar Atalla Hammour|Ali El-Keblawy|Ratiranjan Jena,2024,Ecological Indicators,Journal,al-ruzouq_spectralspatial_2024,al-ruzouq_spectralspatial_2024.json,"Authors acknowledge: (1) Difficulty delineating smaller date palm trees due to limited spatial resolution (1.24m GSD) of satellite data; (2) Manual annotation is labor-intensive and time-consuming, requiring aid from aerial/UAV data; (3) Performance varies with acquisition dates, illumination conditions, and surrounding environments; (4) UperNet-ViT did not effectively utilize spectral information, resulting in oversegmentation and misclassification; (5) Need for further exploration of handcrafted spectral indices' influence on ViT performance; (6) Requirement for self-supervised or semi-supervised techniques to expedite ground-truth data preparation; (7) Potential benefit from super-resolution deep learning to enhance spatial resolution and improve detection of small trees in heterogeneous areas",8
21,Fusing SENTINEL-1 AND SENTINEL-2 images with transformer-based network for deforestation detection in the Brazilian Amazon under diverse cloud conditions,F. Ferrari|M. P. Ferreira|R. Q. Feitosa,2023,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Conference,ferrari_fusing_2023,ferrari_fusing_2023.json,"Authors acknowledge that TRA-OPT's behavior in cloudy conditions (higher precision but lower recall) requires further investigation. The spatial resolution difference between PRODES Landsat-based labels (30m) and Sentinel imagery (10m) required applying a 3-pixel buffer to deforestation polygons. The study was limited to a single geographic region (~12,500 km²) in the Brazilian Amazon without cross-region validation. Authors note that 'investigations using other architectures are required to validate these findings' and suggest 'further investigations into the role of the information source (optical and SAR) in the fusion models may clarify its behavior in diverse cloud conditions.' The reliance on PRODES polygons limits detection to clear-cutting deforestation ≥6.25 hectares.",4
22,"FoMo: Multi-Modal, Multi-Scale and Multi-Task Remote Sensing Foundation Models for Forest Monitoring",Nikolaos Ioannis Bountos|Arthur Ouaknine|Ioannis Papoutsis|David Rolnick,2025,AAAI Conference on Artificial Intelligence (AAAI-25),Conference,bountos_fomo_2025,bountos_fomo_2025.json,"Authors acknowledge: (1) FoMo-Net does not consistently outperform specialized supervised models, particularly with abundant labeled data; (2) Evaluating flexible foundation models requires methods beyond performance metrics to assess modality recognition and scale understanding; (3) Independent band tokenization creates computational bottleneck - memory requirements and quadratic attention complexity pose scalability challenges; (4) Optimization is a priority given these constraints; (5) Current pre-training limited to 64×64 patches and max 4 spectral bands for efficiency; (6) Point cloud data excluded due to need for specialized processing; (7) Model capacity (12-layer ViT) may be insufficient for digesting diverse global information; (8) Lack of built-in hierarchical features in ViT for dense prediction; (9) Authors note combining FoMo-Net with supervised pre-training (like PolyNet) could prove valuable but remains unexplored; (10) TalloS dataset challenges: extreme class imbalance with 1000+ tree genera, many rare species limited to specific locations, tree species occurrence maps as biological prior could help but not yet incorporated",17
23,Transformer-Based Semantic Segmentation of Japanese Knotweed in High-Resolution UAV Imagery Using Twins-SVT,Sruthi Keerthi Valicharla|Roghaiyeh Karimzadeh|Xin Li|Yong-Lak Park,2025,Information,Journal,valicharla_transformer-based_2025,valicharla_transformer-based_2025.json,"Manual annotation required considerable effort due to difficulty visually differentiating knotweed from surrounding vegetation, especially under dense or overlapping canopy conditions. Variability in vegetation height and shadowing complicated accurate boundary delineation. Aerial surveys conducted only during summer, limiting model applicability to vegetative and flowering stages of Japanese knotweed. Need for field-level validation to assess generalizability across different ecological regions, vegetation types, and UAV platforms. Incorporating temporal data from multi-season surveys may enhance ability to monitor phenological variations. Need to explore computational efficiency improvements including model compression and deployment optimizations. Need to test robustness for fragmented habitats (urban edges, mixed agriculture). Future work should investigate domain adaptation and transfer learning for varying environmental conditions.",0
24,A Comprehensive Evaluation of Monocular Depth Estimation Methods in Low-Altitude Forest Environment,Jiwen Jia|Junhua Kang|Lin Chen|Xiang Gao|Borui Zhang|Guijun Yang,2025,Remote Sensing,Journal,jia_comprehensive_2025,jia_comprehensive_2025.json,"This is an evaluation paper assessing existing models. Key challenges identified: (1) CNN-based models struggle with depth discontinuities in dense forest environments, producing over-smooth predictions; (2) Transformer models, while superior, require large-scale diverse training data for robust generalization; (3) Models trained on limited domains (e.g., indoor scenes) fail to transfer to forest environments; (4) Depth estimation accuracy degrades with increasing distance from camera; (5) Real-world forest complexity (lighting, occlusions, texture) exceeds synthetic dataset challenges; (6) Shaded/dimly lit regions remain challenging even for best models; (7) Computational requirements (RTX 4090 GPU needed) limit deployment; (8) Ground-truth depth from RGB-D cameras in real forests is poor quality, limiting validation.",7
25,UAV4TREE: DEEP LEARNING-BASED SYSTEM FOR AUTOMATIC CLASSIFICATION OF TREE SPECIES USING RGB OPTICAL IMAGES OBTAINED BY AN UNMANNED AERIAL VEHICLE,Roberto Pierdicca|Lindo Nepi|Adriano Mancini|Eva Savina Malinverni|Mattia Balestra,2023,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Conference,pierdicca_uav4tree_2023,pierdicca_uav4tree_2023.json,"Authors acknowledge multiple limitations: 1) Significant domain shift between ground-level training images and aerial UAV test images causing performance degradation; 2) Limited dataset size initially (2,690 training images) affecting model performance; 3) Weather conditions, camera calibration, image resolution, flight path/altitude variations impact UAV RGB image quality and accuracy; 4) Processing challenges with obstructions or lighting changes during UAV flights; 5) Manual annotation burden for large training datasets; 6) Class imbalance and noise in test dataset, particularly for Quercus pubescens; 7) Seasonal phenological variations in tree crown appearance reducing classification accuracy; 8) Difficulty manually annotating UAV images where multiple species present in same frame; 9) Requires extensive augmentation and fine-tuning to achieve acceptable generalization from ground to aerial views; 10) Some models (ResNet, InceptionV3) showed overfitting despite high validation accuracy; 11) SR-GAN processing adds computational overhead but necessary for some models to achieve acceptable performance on UAV imagery.",10
26,"Vision Transformers, a new approach for high-resolution and large-scale mapping of canopy heights",Ibrahim Fayad|Philippe Ciais|Martin Schwartz|Jean-Pierre Wigneron|Nicolas Baghdadi|Aurélien de Truchis|Alexandre d'Aspremont|Frederic Frappart|Sassan Saatchi|Agnes Pellissier-Tanon|Hassan Bazzi,2023,Remote Sensing of Environment,Journal,fayad_vision_2023,fayad_vision_2023.json,"Authors acknowledge: (1) GEDI calibration data limitations - 4m pulse width limits sensitivity to vegetation <4m, geolocation errors up to 10m especially in sparse areas, saturation/underestimation in very dense forests, coverage beam vs full power beam quality differences. (2) Minimum height estimates ~2.5-3m over bare soil/water due to GEDI limitations. (3) All models underestimate very tall trees >40m due to limited training samples and GEDI sensor saturation. (4) 15-month mosaicking approach masks temporal events (fires, logging) occurring near end of period. (5) ConvNet models (α-2MDU) require post-processing to mask urban areas, while this is unnecessary for Hy-TeC. (6) Higher computational/memory requirements of transformers may limit adoption. (7) Height map validation limited by ALS coverage (10km²) and lack of ground truth over full Ghana extent.",11
27,Monitoring Forest Changes With Foundation Models and Sentinel-2 Time Series,Jakub Sadel|Lukasz Tulczyjew|Agata M. Wijata|Mateusz Przeliorz|Jakub Nalepa,2025,IEEE Geoscience and Remote Sensing Letters,Journal,sadel_monitoring_2025,sadel_monitoring_2025.json,"Authors acknowledge: (1) Relatively low segmentation results across all models attributed to extremely high heterogeneity of test composite images and cloud contamination (26% minor occlusions, 5% major quality issues); (2) Monthly composite images suffer from cloud artifacts that directly affect learned models as no cloud detection/removal preprocessing was performed; (3) DynamicEarthNet agriculture class contains vegetation pixels similar to forest class, causing confusion; (4) TransUNet models struggled to optimize without pre-trained weights for the different input channel characteristics; (5) Cloudy Sentinel-2 images would be annotated as 'useless' in practical scenarios and should be handled by on-board smart compression/selection techniques; (6) Appropriately handling contaminated images in training and inference stages needs further research; (7) Some test AOIs (3, 7, 8) notably more challenging with accuracy <60%; (8) Models tend to over-report deforestation, requiring manual verification of detected changes.",5
28,ForestFormer3D: A Unified Framework for End-to-End Segmentation of Forest LiDAR 3D Point Clouds,Binbin Xiang|Maciej Wielgosz|Stefano Puliti|Kamil Král|Martin Krůček|Azim Missarov|Rasmus Astrup,2025,arXiv preprint,Preprint,xiang_forestformer3d_2025,xiang_forestformer3d_2025.json,"Authors acknowledge: (1) Small trees occasionally missed, particularly in dense multi-layered forests. (2) Heavily inclined small trees near ground pose significant challenge for all methods, leading to missed detections, over-segmentation, or incorrect assignment to neighboring trees - identified as 'open problem for future research'. (3) Performance degrades significantly in extremely sparse point clouds (<100 pts/m²), and multi-density training augmentation provides only partial mitigation without solving the fundamental challenge. (4) Semantic segmentation mIoU slightly lower than CNN baseline ForAINetV2 (-1.3 pp on test split, -0.5 pp on validation) due to unified architecture prioritizing instance-level distinctions through shared representation learning. (5) GPU memory constraints limited exploration of larger input radii and more query points which could potentially improve performance further. (6) Cylinder cropping can split individual trees, requiring boundary masking mitigation strategy",9
29,Leveraging Prompt-Based Segmentation Models and Large Dataset to Improve Detection of Trees,Vincent Grondin|Philippe Massicotte|Mohamed Gaha|François Pomerleau|Philippe Giguère,2024,Not specified in paper,Journal,grondin_leveraging_2024,grondin_leveraging_2024.json,"Authors acknowledge: 1) SAM can wrongly associate background branches to trees, causing bounding boxes to cover larger areas that hurt performance if labels don't include branches; 2) The released dataset images are sourced from Flickr with varying licenses, so only URL links will be provided (not self-contained); 3) Some downloaded images 'may not necessarily feature trees, rendering them irrelevant for tree detection purposes' as no human verification was performed post-download; 4) Performance gains from SAM pseudo-labels are minimal on 'easy' datasets with straight tree trunks (CANATREE100); 5) Running three models simultaneously (burn-in, SAM, finetuning) would be GPU memory intensive, limiting deployment options; 6) Future improvement needed: 'finetune HQ-SAM on forest images so it learns to output correctly segmented trees even with noisy prompt inputs'.",2
30,TransU-Net++: Rethinking attention gated TransU-Net for deforestation mapping,Ali Jamali|Swalpa Kumar Roy|Jonathan Li|Pedram Ghamisi,2023,International Journal of Applied Earth Observation and Geoinformation,Journal,jamali_transunet++_2023,jamali_transunet++_2023.json,"Authors acknowledge that ViTs face several challenges in remote sensing: (1) significant complexity that increases computation costs, and (2) need for much higher reference data than CNNs. The paper notes that while the developed TransU-Net++ model was evaluated for deforestation mapping, the generalized architecture could be applied to other computer vision tasks (remote sensing segmentation, medical image segmentation, smoke semantic segmentation). Future work should evaluate the architecture in medical image segmentation domain. The paper emphasizes that consistent visual and statistical performance across multiple datasets is more important than slight advantages in specific statistical indices on individual datasets",64
31,Transformer-based Instance Segmentation with Multi-Scale Spectrum-Averaging Blend Queries,Lirong Zhu|Chih-Wei Lin|Ye Lin,2024,9th International Symposium on Computer and Information Processing Technology (ISCIPT),Conference,zhu_transformer-based_2024,zhu_transformer-based_2024.json,"Authors acknowledge that initial queries being randomly generated can impact performance. Additionally, positional queries experience information lag because they are updated only during backpropagation rather than being directly mapped, which prevents the model from promptly updating position information based on current input.",0
32,Vision Transformer-Based Unhealthy Tree Crown Detection in Mixed Northeastern US Forests and Evaluation of Annotation Uncertainty,Durga Joshi|Chandi Witharana,2025,Remote Sensing,Journal,joshi_vision_2025,joshi_vision_2025.json,"Authors acknowledge multiple significant limitations: (1) Dense canopy with significant crown occlusion made distinguishing individual trees difficult, particularly between healthy and unhealthy trees with similar spectral signatures; (2) Data acquired during early fall introduced additional noise as spectral reflectance of unhealthy trees might be similar to senescent-colored foliage, leading to segmentation errors; (3) Manual annotation in dense and visually complex scenes was time-consuming and susceptible to human bias, with substantial inter-annotator variability (IoU scores ranging from 0.37 to 0.70 among 9 annotators); (4) The 60cm spatial resolution might be insufficient to resolve details within dense canopy, potentially leading to spectral mixing and reduced accuracy; (5) Annotation scale choice (1:300) might not capture finer details crucial for precise segmentation in occluded areas; (6) Model exhibited boundary extent uncertainty, with tendency to overestimate larger UTC areas; (7) Annotation uncertainty analysis revealed IoU could fluctuate between 14.81% to 57.41% and F1-scores from 8.57% to 47.14% depending on annotation strategy (intersection vs union vs median consensus), demonstrating significant sensitivity to annotation inconsistencies; (8) Occluded and merged canopies posed difficulties in accurate individual crown delineation, often resulting in multiple UTCs being annotated as single crowns; (9) Limited to single geographic region (Connecticut) and single season (early fall), limiting generalizability claims.",12
