dataset_id,paper_id,dataset_name,is_public,is_benchmark,scale,resolution,resolution_m,annotation_type,dataset_url
11,11,Custom Shenzhen Urban Forest Dataset,False,No,"Three 3000×3000 pixel test areas from Shenzhen, Guangdong Province, China","RGB orthoimage: 0.025m spatial resolution, LiDAR: 100 points/m²",0.025,Instance masks|Point annotations,
12,12,"Custom Sentinel-1 SAR and Sentinel-2 dataset for Chaco eco-region, Bolivia",False,No,"Study area covering approximately 2° latitude by 2° longitude (upper left: -63.166° lon, -17.792° lat; lower right: -61.166° lon, -19.792° lat)",10m ground sampling distance,10.0,Semantic segmentation masks,
13,13,Custom dataset from GF-1 and GF-6 satellites,False,No,"3,372 labeled images (843 original + augmentation), 224×224 pixels per image, covering Gaoqiao and Shankou Mangrove Reserves",8m spatial resolution,8.0,Semantic segmentation masks,
14,14,Zurich Dataset|Shanghai Dataset,False,No,"Zurich: 9,032 image samples (512×512), covering approximately 1,728.95 km²; Shanghai: 74,780 image pairs (512×512), covering approximately 6,340.5 km²","Zurich: ORS 0.1m (downsampled to 1m), DSM 1m; Shanghai: ORS 0.68m, SAR 3m (upsampled to match ORS)",0.1,Semantic segmentation masks,
15,15,Denmark dataset|Rwanda dataset,,No,"Denmark: 23,600 annotated trees; Rwanda: 98,800 annotated trees",Denmark: 20cm GSD (RGB+NIR); Rwanda: 25cm GSD (RGB),0.2,Polygon delineations,
16,16,Planet Amazon Rainforest Satellite Imagery Dataset (Kaggle Competition),True,Yes,Dataset split 50/20/30 train/valid/test covering Amazon basin,"3.7m GSD (ground-sample distance), orthorectified pixel size of 3m",3.7,Semantic segmentation masks,https://www.kaggle.com/c/planet-understanding-the-amazon-from-space/data
17,17,Open-Canopy,True,Yes,"Over 1 million paired samples across 87,000 km² in France","1.5m VHR (Very High Resolution), Sentinel-2 four-band imagery",1.5,Semantic segmentation masks|Pixel-level regression maps,https://github.com/YuZhenyuLindy/SatelliteCalculator
18,18,Custom KROOF dataset (Kranzberg Forest Roof Experiment),False,No,"1390 trees for training/validation, 125 trees for testing across 3 plots",5.9 cm and 5.3 cm GSD (ground sample distance),0.059000000000000004,Bounding boxes|Point annotations,
19,19,Trento dataset|Houston 2013 dataset,True,Yes,"Trento: 30,214 sample pixels (166×600 pixels); Houston 2013: 15,029 samples (349×1905 pixels)",Trento: 1m spatial resolution with 63 spectral bands (402.89-989.09nm); Houston 2013: 2.5m spatial resolution with 144 spectral bands (380-1050nm),1.0,Semantic segmentation masks,Available at https://github.com/shuxquan/PlantViT/tree/main/trento and https://github.com/shuxquan/PlantViT/tree/main/Houston%202013
20,20,WorldView-3 (WV-3) Date Palm Dataset,False,No,"76,950 annotated date palm trees across 275 km² covering multiple UAE cities (Ajman 38.6 km², Kalba 93 km², Dibba 77.1 km², Masafi 66.3 km²), 16,260 training image tiles, 1,800 testing images","0.31m GSD panchromatic, 1.24m GSD multispectral (pansharpened to 0.31m)",0.31,Semantic segmentation masks,
21,21,Custom Brazilian Amazon dataset derived from PRODES polygons,False,No,"12,500 km² study area in southeastern Amazonas State, Brazil, with deforestation polygons from 2018-2020",10m spatial resolution from Sentinel-1 GRD (VV and VH polarizations) and Sentinel-2 Level-1C (13 bands resampled to 10m),10.0,Polygon delineations|Semantic segmentation masks,Available upon request
22,22,FoMo-Bench (benchmark suite with 15 datasets)|TalloS (novel dataset introduced in this work),True,Yes,FoMo-Bench includes 15 diverse datasets; TalloS contains ~335k locations with ≥50 trees globally,Multi-scale: from few centimeters (UAV) to 60m per pixel (satellite). TalloS uses 10m resolution (Sentinel-1/2),60.0,Semantic segmentation masks|Instance masks|Bounding boxes|Point annotations,https://github.com/RolnickLab/FoMo-Bench
23,23,Custom Japanese knotweed UAV dataset from West Virginia,False,No,6945 annotated UAV image patches (640×480 pixels) extracted from 463 full-resolution images,"1920×1080 pixels full resolution, acquired at 50m flight height above ground",1920.0,Semantic segmentation masks,Data will be made available upon request
24,24,Mid-Air|LOBDM-Forest (Synthetic)|Low-Viewpoint Forest,True,Yes,"Mid-Air: 801 images from trajectory 0027; LOBDM-Forest: 900 images (big-test branch subset); Low-Viewpoint Forest: 9,700 RGB-depth pairs",640×480 pixels (LOBDM-Forest and Low-Viewpoint); 1024×1024 pixels (Mid-Air),640.0,Semantic segmentation masks,Mid-Air: https://midair.ulg.ac.be; LOBDM-Forest: https://doi.org/10.3929/ethz-b-000634419; Low-Viewpoint Forest: https://zenodo.org/records/3945526
25,25,Custom dataset from iNaturalist (training/validation)|Custom UAV dataset (testing),False,No,"2,690 training images, 560 validation images, 2,650 test images covering 4 tree species","Various resolutions, resized to 224×224 for Vision Transformer",224.0,Image-level class labels,
26,26,Custom GEDI-calibrated dataset over Ghana,False,No,"27,096,322 GEDI shots acquired (43% retained after filtering = ~11.6M shots), covering 238,535 km² (entire country of Ghana)","10m GSD for Sentinel-1 and Sentinel-2 imagery, 25m GEDI footprints",10.0,Point annotations,
27,27,DynamicEarthNet (Sentinel-2 auxiliary images),True,Yes,"75 AOIs with 24 monthly composite images each (1,800 total images), split into 37 training, 9 validation, 8 test AOIs","10-60m spatial resolution (Sentinel-2 13 spectral bands, 6 bands used: blue, green, red, narrow NIR, SWIR1, SWIR2)",10.0,Semantic segmentation masks,European Space Agency's Copernicus Program
28,28,FOR-instanceV2 (extended from FOR-instance dataset),True,Yes,"10,470 annotated trees across 9 regions (CULS: 37 trees, NIBIO: 575 trees, RMIT: 223 trees, SCION: 135 trees, TUWIEN: 150 trees, NIBIO2: 3,062 trees, NIBIO_MLS: 258 trees, BlueCat: 6,304 trees, Yuchen: 281 trees). Additional test datasets: Wytham woods (835 trees), LAUTx (516 trees)",LiDAR point clouds voxelized to 0.2m resolution. Point density varies from 10 to 1000+ points/m²,0.2,Instance masks|Semantic segmentation masks,https://bxiang233.github.io/FF3D/
29,29,CANATREE100|FLICKRTREE100|FLICKRTREE110K,True,No,"CANATREE100: 920 labeled trees in 100 images; FLICKRTREE100: 1463 labeled trees in 100 images; FLICKRTREE110K: 110,937 unlabeled images","≤800×800 pixels for Flickr images, 1280×720 for CANATREE100",800.0,Instance masks|Bounding boxes,https://github.com/norlab-ulaval/PercepTreeV1
30,30,Amazon Rainforest 3-band dataset (Bragagnolo et al. 2021)|Amazon Rainforest 4-band dataset (Bragagnolo et al. 2021)|Atlantic Forest 4-band dataset (Bragagnolo et al. 2021),True,No,"3-band Amazon: 30 training images (21 train, 9 validation) and 15 test images; 4-band datasets: 499 training, 100 validation, 20 test images","Sentinel-2 imagery, 512×512 pixel sub-images",2.0,Semantic segmentation masks,Available from SentinelHub and Bragagnolo et al. 2021 publications
31,31,Tree Species Instance Segmentation Dataset,,No,4060 RGB images with 37 classes of tree species instances,"Images of sizes (2304, 1296) and (2000, 1500) pixels, resized to (512, 152) for training",2304.0,Instance masks,
32,32,NAIP (National Agricultural Imagery Program),True,No,"5133 annotated unhealthy tree crowns across 400 image patches (254×254 pixels each, covering 152.4m × 152.4m area)",0.6m GSD,0.6,Polygon delineations,https://earthexplorer.usgs.gov/
33,33,Custom KROOF (Kranzberg Forest Roof Experiment) dataset,False,No,"1408 trees for training and validation (1185 training, 223 validation), 125 trees for testing across 3 plots (55 in plot #1, 36 in plot #2, 34 in plot #3)","5cm GSD for multispectral imagery, 560 pts/m² LiDAR point density",0.05,Instance masks|Polygon delineations,
34,34,USGS LiDAR-Urban|OpenStreetMap (OSM)|GRO Single-Tree Dataset,True,No,"1,160 images (224m × 224m tiles) from 8 cities, covering urban forest areas from 2012-2020",1m GSD (Ground Sample Distance) for LiDAR,1.0,Instance masks|Polygon delineations,USGS LiDAR data publicly available; OSM data from OpenStreetMap; GRO dataset available at https://data.goettingen-research-online.de/dataset.xhtml?persistentId=doi:10.25625/FOHUJM
35,35,Quebec Plantations dataset|SBL dataset (Quebec Trees)|BCI dataset (Barro Colorado Island),True,No,"Quebec Plantations: 19,500 annotated trees across 15 sites; SBL: 22,933 tree crowns; BCI: 2,280 tree crowns covering 50-ha plot with 112 species",Quebec Plantations: 5 mm/pixel; SBL: 1.9 cm/pixel; BCI: 4 cm/pixel; DSM at 1m-height resolution for BCI,0.005,Instance masks|Polygon delineations,Quebec Plantations: https://doi.org/10.20383/103.0979; SBL: Available in Cloutier et al. 2024; BCI: Vasquez et al. 2023
36,36,Custom New Brunswick Wetland Dataset,False,No,"Combined dataset: 64,186 total pixels across 7 classes (Aquatic bed: 5,519 train/920 val/2,761 test; Bog: 11,806/1,968/5,903; Fen: 16,157/2,693/8,079; Forested wetland: 26,546/4,425/13,273; Freshwater marsh: 10,650/1,775/5,325; Shrub wetland: 24,284/4,048/12,142; Water: 3,209/535/1,604)",10m GSD (Sentinel-1 and Sentinel-2),10.0,Polygon delineations|Semantic segmentation masks,Available upon request
37,37,Custom 3DEP Lidar + NAIP Dataset|NEON sites (partial),True,No,"262,643 sample tiles (195,416 training, 67,227 test), each 0.5×0.5 km covering approximately 190,000 km² total area",0.5m GSD for both NAIP imagery and lidar CHM at 1000×1000 pixels per tile,0.5,Semantic segmentation masks,https://osf.io/kh4x3
38,38,"Custom UAV Acacia tortilis dataset (Fujairah/Sharjah, UAE)",,No,"Study area ≈25 km²; ~9,100 field-referenced Acacia trees; tiles: 11,067 train / 1,010 val / 800 test (1024×1024 px)",≈2.5 cm GSD (20 MP S.O.D.A. camera on senseFly eBee X; 122 m AGL; 70% horiz / 40% vert overlap),0.025,Semantic segmentation masks,
39,39,TreeCrown|Landcover.AI|UAVid,True,Yes,"TreeCrown: 1,360 images (23,000 segmented tree crowns); Landcover.AI: 21,924 images (216.27 km²); UAVid: urban scenes",TreeCrown: 768×768 pixels UAV images; Landcover.AI: 256×256 pixels (25cm and 50cm per pixel); UAVid: 256×256 pixels (from 3840×2160 and 4096×2160),7.68,Instance masks|Semantic segmentation masks,
40,40,"Custom date palm dataset - Ajman, UAE",False,No,"89,069 training images containing 664,689 date palm tree instances; 3,500 validation images with 27,636 instances; 3,645 testing images with 30,385 instances; covers approximately 30 km²",5 cm GSD (ground sampling distance),0.05,Instance masks|Polygon delineations,
41,41,"Emerald Point|NEON TreeEvaluation|Detectree2 (Danum, Sepilok East, Sepilok West)",True,Yes,"NEON: 30,975 annotated tree bounding boxes across 22 sites; Detectree2: ~1,000 labeled crowns from Malaysia; Emerald Point: aerial photographs from single site","Not explicitly stated, but aerial/UAV imagery at high resolution",,Bounding boxes|Polygon delineations,NEON and Detectree2 publicly available
42,42,Custom UAV-LiDAR Dataset - Ganzhou Forest,False,No,"1,364 annotated tree instance masks across approximately 2 km², 267 trees for validation","3 cm/pixel RGB imagery, 150 points/m² LiDAR density",0.03,Instance masks,Available upon request
43,43,REO-Instruct|AGBD,,Yes,"1.6 million multimodal EO-language pairs in training set, approximately 36K pairs in testing set","10m for Sentinel-2 multispectral (13 bands), 25m for ALOS-2 PALSAR-2 SAR (2 bands), 25×25-pixel patches corresponding to 250m×250m observation area",10.0,Semantic segmentation masks|Polygon delineations,
44,44,Custom multiscale date palm dataset (UAV and aerial images),False,No,"168,075 date palm trees total (50,000 from UAV at 5cm GSD, 65,740 from aerial at 15cm GSD, 52,335 from aerial at 20cm GSD)","Multiscale: 5cm GSD (UAV), 15cm GSD (aerial), 20cm GSD (aerial)",0.05,Semantic segmentation masks,
45,45,Custom TreeSeg Dataset,True,No,"1,096 annotated trees covering approximately 4.7 hectares",1.3 to 2.3 cm per pixel,0.013000000000000001,Instance masks|Polygon delineations,https://github.com/soenke-sp/TreeSeg
46,46,Custom dataset from Martell Forest,True,No,"8799 labeled crown images (2819 Summer, 5980 Fall)",1.51–2.01 cm/pixel,0.0151,Bounding boxes,https://github.com/YunmeiHuanghi/Tree_canopy_UAV_image_examples
47,47,UAV Canadian (Quebec) Plantations dataset,True,No,"26,428 tiles total (15,742 training, 6,691 validation, 3,995 test); 19,500 total annotated trees across 15 sites",5mm per pixel (0.5cm GSD),0.005,Instance masks|Polygon delineations,https://doi.org/10.20383/103.0979
48,48,Custom Dongtai Forest Farm UAV Dataset,False,No,"4,338 annotated tree crown samples (1101 Bamboo, 880 Ginkgo, 1105 Metasequoia, 1252 Poplar)",0.2m GSD from 200m flight altitude,0.2,Semantic segmentation masks,
49,49,Geographic distribution shift benchmark for detecting individual trees,True,Yes,"Images from 8 agro-climatic zones in Rajasthan, India",50cm spatial resolution (Skysat),0.5,Bounding boxes,https://github.com/siddsach/distshift_agroforestry/
50,50,"MillionST (pre-training: 1M images from 100,000 locations)|MultiEarth|MultiSenGE|MTLCC|Sen12Flood|KuroSiwo",True,Yes,"MillionST: 1,000,000 Sentinel-2 images from 100,000 geographic locations, 10 temporal phases over 5 years; MultiEarth: 1,565 training images; MultiSenGE: 8,157 time series samples; MTLCC: 30 timesteps per sequence; KuroSiwo: 7,103 samples","MillionST: 2.65×2.65 km patches, 10m/20m/60m bands; MultiEarth: 256×256 pixels; MultiSenGE: 256×256 pixels; MTLCC: 48×48 pixels per timestamp; KuroSiwo: variable",2.65,Semantic segmentation masks|Pixel-level annotations,Will be released at project website (not yet available)
51,51,Custom Ajman Date Palm Dataset,False,No,"664,689 date palm tree instances for training, 27,636 for validation, 30,385 for testing",5cm GSD (mean ground sampling distance),0.05,Instance masks|Polygon delineations,
52,52,NEON (National Ecological Observatory Network) high-resolution orthomosaic imagery,True,No,39GB total imagery from 8 sites across 3 domains; 192 annotated images for Mask R-CNN training,"10,000 × 10,000 pixels per 1km × 1km tile; 0.1m spatial resolution",10.0,Instance masks,NEON official website (neonscience.org)
53,53,Custom Sentinel-2 Amazon and Atlantic Forest datasets,True,No,"3-band Amazon: 30 training + 15 validation images; 4-band Amazon/Atlantic: 499 training + 100 validation + 20 test images each, 512×512 pixels per image",10m spatial resolution,10.0,Semantic segmentation masks,https://github.com/aj1365/e-TransUNet
54,54,SensatUrban|Semantic3D,True,Yes,"SensatUrban: 7.6 km² covering Birmingham, Cambridge, and York (4 billion points total); Semantic3D: 4 billion manually annotated points","Not explicitly specified, described as 'high-resolution' for SensatUrban; Semantic3D uses 5 cm distance criterion",0.03,Semantic segmentation masks,
55,55,Custom simulated virtual forest dataset (M2fNet dataset),True,No,"50,000 training video frames, 3,000 test frames, featuring 19 tree species",Not explicitly specified,,Instance masks|Bounding boxes,https://forestvrw.github.io/M2fNet/
56,56,Brazil 2022 GEDI-HLS dataset,,No,Three major eco-regions in Brazil with GEDI measurements from 2022,30m (HLS - Harmonized Landsat-8 Sentinel-2),30.0,Pixel-level regression values,
57,57,Custom dataset from Northeast Forestry University experimental forest farm,False,No,"2000 individual tree point clouds (after augmentation: 320 Birch, 640 Quercus mongolica, 640 Sylvestris for training; 80 Birch, 160 Quercus mongolica, 160 Sylvestris for testing)","1772 points/m² LiDAR density, 35m flying height",1772.0,Point annotations,Available upon request
58,58,Garrulus dataset (field-D),False,No,"0.3 hectare post-harvest area, 1000 training windows (512×512 pixels), 36 test windows",10cm per pixel,0.1,Semantic segmentation masks,Planned for future publication
59,59,KCL-London|Jiangsu|Yosemite,True,No,"KCL-London: 95,067 trees in 613 labeled images; Jiangsu: 664,487 trees in 2400 images; Yosemite: 98,949 trees in 2700 images",KCL-London: 0.2m GSD; Jiangsu: 0.8m GSD; Yosemite: 0.12m GSD,0.2,Point annotations,https://github.com/HAAClassic/TreeFormer
60,60,Campo Grande dataset|Guangzhou dataset,,No,"Campo Grande: 220 patches with 3382 trees; Guangzhou: Site1 (2241 trees), Site2 (1713 trees), Site3 (11459 trees)",0.1m GSD,0.1,Bounding boxes,Campo Grande: public; Guangzhou: private
61,61,KCL-London|Yosemite,True,Yes,"KCL-London: 95,067 trees (613 images); Yosemite: 98,949 trees (2700 images at 512×512)",KCL-London: 1024×1024 pixels; Yosemite: 512×512 pixels (cropped from 19200×38400),1024.0,Point annotations,
62,62,Custom datasets (Dataset_A and Dataset_B),False,No,"2,497 annotated trees total (879 trees in Dataset_A, 1,618 trees in Dataset_B)",3 cm GSD for both RGB orthophotos and CHM,0.03,Bounding boxes,Available upon request
63,63,OAM-TCD (OpenAerialMap Tree Crown Delineation),True,Yes,"5024 images (4169 training/416 validation/439 test), 2048×2048 pixels each, global coverage across multiple continents",10 cm GSD (ground sampling distance),0.1,Semantic segmentation masks,https://huggingface.co/datasets/restor/tcd
